match_id,inning,batting_team,player,runs_scored,balls_faced,strike_rate,fours,sixes
51,2,Perth Scorchers,EL King,3,5,60.0,0,0
51,2,Perth Scorchers,P Cleary,0,1,0.0,0,0
40,1,Adelaide Strikers,CM Edwards,12,19,63.16,1,0
40,1,Adelaide Strikers,TT Beaumont,5,8,62.5,1,0
40,1,Adelaide Strikers,SFM Devine,13,22,59.09,1,0
40,1,Adelaide Strikers,TM McGrath,5,13,38.46,0,0
40,1,Adelaide Strikers,S Nitschke,9,10,90.0,1,0
40,1,Adelaide Strikers,BE Patterson,22,24,91.67,1,0
40,1,Adelaide Strikers,SJ Elliott,2,9,22.22,0,0
40,1,Adelaide Strikers,TJ McPharlin,0,1,0.0,0,0
40,1,Adelaide Strikers,SJ Coyte,3,4,75.0,0,0
40,1,Adelaide Strikers,ML Schutt,12,9,133.33,1,0
40,1,Adelaide Strikers,A Wellington,1,1,100.0,0,0
40,2,Melbourne Stars,JE Cameron,0,1,0.0,0,0
40,2,Melbourne Stars,HNK Jensen,9,16,56.25,2,0
40,2,Melbourne Stars,EJ Inglis,25,18,138.89,5,0
40,2,Melbourne Stars,NR Sciver,11,16,68.75,1,0
40,2,Melbourne Stars,KM Mack,31,33,93.94,5,0
40,2,Melbourne Stars,A Lanning,15,17,88.24,1,0
3,1,Adelaide Strikers,SW Bates,1,5,20.0,0,0
3,1,Adelaide Strikers,SFM Devine,89,55,161.82,6,5
3,1,Adelaide Strikers,TM McGrath,1,4,25.0,0,0
3,1,Adelaide Strikers,BE Patterson,31,27,114.81,5,0
3,1,Adelaide Strikers,A Wellington,0,1,0.0,0,0
3,1,Adelaide Strikers,TJ McPharlin,30,22,136.36,3,0
3,1,Adelaide Strikers,ML Schutt,4,5,80.0,0,0
3,1,Adelaide Strikers,SM Betts,1,1,100.0,0,0
3,2,Brisbane Heat,BL Mooney,63,57,110.53,5,1
3,2,Brisbane Heat,GM Harris,5,3,166.67,1,0
3,2,Brisbane Heat,SJ Johnson,1,5,20.0,0,0
3,2,Brisbane Heat,KL Short,62,55,112.73,7,0
36,1,Brisbane Heat,BL Mooney,2,4,50.0,0,0
36,1,Brisbane Heat,DJS Dottin,9,18,50.0,0,0
36,1,Brisbane Heat,KL Short,5,7,71.43,1,0
36,1,Brisbane Heat,DM Kimmince,0,6,0.0,0,0
36,1,Brisbane Heat,JL Jonassen,46,46,100.0,1,1
36,1,Brisbane Heat,L Harris,2,4,50.0,0,0
36,1,Brisbane Heat,SJ Johnson,4,12,33.33,0,0
36,1,Brisbane Heat,H Birkett,15,17,88.24,1,0
36,1,Brisbane Heat,HL Ferling,10,6,166.67,0,0
36,2,Melbourne Stars,L Lee,9,20,45.0,1,0
36,2,Melbourne Stars,KM Mack,20,24,83.33,1,0
36,2,Melbourne Stars,M du Preez,36,34,105.88,4,0
36,2,Melbourne Stars,EA Osborne,15,14,107.14,2,0
36,2,Melbourne Stars,A Lanning,1,4,25.0,0,0
36,2,Melbourne Stars,A King,6,8,75.0,1,0
4,1,Hobart Hurricanes,RH Priest,2,5,40.0,0,0
4,1,Hobart Hurricanes,R Johnston,10,14,71.43,2,0
4,1,Hobart Hurricanes,M du Preez,1,4,25.0,0,0
4,1,Hobart Hurricanes,RM Ghosh,46,45,102.22,1,3
4,1,Hobart Hurricanes,NJ Carey,12,17,70.59,0,0
4,1,Hobart Hurricanes,NE Stalenberg,1,5,20.0,0,0
4,1,Hobart Hurricanes,SK Moloney,22,16,137.5,4,0
4,1,Hobart Hurricanes,M Strano,11,7,157.14,2,0
4,1,Hobart Hurricanes,B Vakarewa,2,3,66.67,0,0
4,1,Hobart Hurricanes,TJ Vlaeminck,1,2,50.0,0,0
4,1,Hobart Hurricanes,A Smith,2,2,100.0,0,0
4,2,Sydney Sixers,Shafali Verma,57,50,114.0,6,0
4,2,Sydney Sixers,AJ Healy,3,6,50.0,0,0
4,2,Sydney Sixers,A Gardner,3,3,100.0,0,0
4,2,Sydney Sixers,EA Perry,27,33,81.82,3,0
4,2,Sydney Sixers,NE Bolton,17,19,89.47,1,0
4,2,Sydney Sixers,AR Reakes,4,4,100.0,1,0
4,2,Sydney Sixers,M Brown,4,2,200.0,1,0
